Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2018,District of Columbia,DC,Passenger,0,3,3,198,201,1.49
July 31 2018,Skamania,WA,Passenger,13,9,22,8635,8657,0.25
June 30 2022,Moore,NC,Passenger,0,1,1,119,120,0.83
November 30 2018,Kittitas,WA,Truck,0,0,0,14162,14162,0.00
April 30 2022,Harnett,NC,Passenger,2,0,2,150,152,1.32
September 30 2020,Jefferson,WA,Passenger,257,148,405,24731,25136,1.61
September 30 2017,,,Passenger,3,0,3,440,443,0.68
April 30 2023,Kent,DE,Passenger,1,0,1,45,46,2.17
June 30 2018,Sumter,FL,Passenger,0,1,1,9,10,10.00
April 30 2020,Bartow,GA,Passenger,0,1,1,3,4,25.00
January 31 2018,Bexar,TX,Passenger,1,2,3,813,816,0.37
August 31 2017,Hardin,KY,Passenger,0,1,1,123,124,0.81
July 31 2021,Boulder,CO,Passenger,1,1,2,42,44,4.55
August 31 2023,Jefferson,NY,Passenger,2,1,3,164,167,1.80
January 31 2022,Dorchester,SC,Passenger,1,0,1,65,66,1.52
February 28 2018,Sedgwick,KS,Passenger,0,1,1,103,104,0.96
March 31 2022,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
August 31 2018,Kittitas,WA,Passenger,51,34,85,29117,29202,0.29
August 31 2019,Whatcom,WA,Truck,2,0,2,42995,42997,0.00
April 30 2017,Riverside,CA,Passenger,1,1,2,827,829,0.24
September 30 2020,Moore,NC,Passenger,0,1,1,161,162,0.62
November 30 2018,Marion,IN,Passenger,1,0,1,121,122,0.82
July 31 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
November 30 2019,Penobscot,ME,Passenger,0,1,1,14,15,6.67
July 31 2023,Franklin,WA,Passenger,317,143,460,61069,61529,0.75
April 30 2021,Wahkiakum,WA,Passenger,11,6,17,3113,3130,0.54
March 31 2022,Spokane,WA,Truck,0,0,0,102445,102445,0.00
July 31 2022,El Paso,TX,Passenger,2,0,2,330,332,0.60
August 31 2021,Collier,FL,Passenger,1,0,1,18,19,5.26
February 28 2017,Travis,TX,Passenger,0,1,1,198,199,0.50
March 31 2021,Denver,CO,Passenger,1,0,1,112,113,0.88
February 28 2019,Volusia,FL,Passenger,0,1,1,37,38,2.63
February 28 2019,Jefferson,WA,Truck,0,0,0,9623,9623,0.00
January 31 2017,Richmond,GA,Passenger,0,1,1,103,104,0.96
August 31 2022,Broward,FL,Passenger,1,0,1,74,75,1.33
October 31 2020,Sarasota,FL,Passenger,2,0,2,26,28,7.14
June 30 2023,Collier,FL,Passenger,1,0,1,11,12,8.33
April 30 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
April 30 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
March 31 2020,Chelan,WA,Passenger,220,79,299,54479,54778,0.55
August 31 2017,Anne Arundel,MD,Passenger,0,1,1,498,499,0.20
February 28 2017,Shelby,TN,Passenger,0,1,1,108,109,0.92
July 31 2021,Klamath,OR,Passenger,1,0,1,29,30,3.33
April 30 2019,Valencia,NM,Passenger,1,0,1,9,10,10.00
April 30 2020,Los Angeles,CA,Passenger,6,11,17,1016,1033,1.65
January 31 2022,Wake,NC,Passenger,1,0,1,110,111,0.90
January 31 2022,Kittitas,WA,Truck,0,0,0,14767,14767,0.00
November 30 2017,Eagle,CO,Passenger,1,0,1,6,7,14.29
June 30 2020,Collier,FL,Passenger,1,0,1,19,20,5.00
November 30 2018,Pend Oreille,WA,Truck,0,0,0,5742,5742,0.00
February 28 2017,Douglas,WA,Truck,0,0,0,11387,11387,0.00
December 31 2022,Thurston,WA,Truck,38,0,38,54691,54729,0.07
September 30 2017,Benton,WA,Truck,0,0,0,40274,40274,0.00
November 30 2017,Whitman,WA,Passenger,16,19,35,22385,22420,0.16
September 30 2017,Santa Clara,CA,Passenger,5,2,7,393,400,1.75
June 30 2019,Jefferson,CO,Passenger,0,2,2,59,61,3.28
March 31 2022,Shelby,OH,Passenger,0,1,1,2,3,33.33
May 31 2020,Greene,MO,Passenger,0,1,1,33,34,2.94
August 31 2022,Yavapai,AZ,Passenger,0,1,1,26,27,3.70
July 31 2019,Richmond,GA,Passenger,0,1,1,93,94,1.06
October 31 2018,DuPage,IL,Passenger,1,0,1,59,60,1.67
February 28 2022,Henrico,VA,Passenger,0,1,1,13,14,7.14
October 31 2021,Camden,NJ,Passenger,0,1,1,14,15,6.67
September 30 2022,Lake,IL,Passenger,2,0,2,129,131,1.53
March 31 2022,Pend Oreille,WA,Passenger,16,10,26,9047,9073,0.29
April 30 2023,Clallam,WA,Truck,18,0,18,21705,21723,0.08
November 30 2020,Charles,MD,Passenger,1,1,2,75,77,2.60
April 30 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
May 31 2021,Pend Oreille,WA,Passenger,14,6,20,9274,9294,0.22
August 31 2023,Riverside,CA,Passenger,4,0,4,325,329,1.22
January 31 2022,Marin,CA,Passenger,0,1,1,34,35,2.86
July 31 2022,Wilson,TX,Passenger,0,1,1,2,3,33.33
March 31 2022,Columbia,WA,Truck,0,0,0,1588,1588,0.00
July 31 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
November 30 2020,Jefferson,WA,Truck,0,0,0,9582,9582,0.00
April 30 2019,Bergen,NJ,Passenger,1,0,1,26,27,3.70
June 30 2020,Montgomery,PA,Passenger,1,0,1,30,31,3.23
December 31 2017,Whitman,WA,Passenger,17,20,37,22425,22462,0.16
September 30 2020,DeKalb,GA,Passenger,1,0,1,80,81,1.23
May 31 2021,Asotin,WA,Truck,0,0,0,6781,6781,0.00
October 31 2021,Platte,MO,Passenger,1,0,1,20,21,4.76
May 31 2022,Platte,MO,Passenger,1,0,1,23,24,4.17
June 30 2019,Clark,WA,Passenger,1538,927,2465,313849,316314,0.78
August 31 2020,Riverside,CA,Passenger,3,0,3,610,613,0.49
May 31 2018,San Juan,WA,Truck,0,0,0,5702,5702,0.00
May 31 2019,Travis,TX,Passenger,2,1,3,205,208,1.44
April 30 2019,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
February 28 2017,Moore,NC,Passenger,0,1,1,211,212,0.47
January 31 2018,Kitsap,WA,Passenger,706,402,1108,176395,177503,0.62
March 31 2017,Maricopa,AZ,Passenger,2,1,3,1836,1839,0.16
June 30 2022,Multnomah,OR,Passenger,0,3,3,524,527,0.57
August 31 2022,Fairfax,VA,Passenger,7,3,10,600,610,1.64
November 30 2020,Spokane,WA,Truck,0,0,0,100369,100369,0.00
October 31 2018,Ferry,WA,Truck,0,0,0,3567,3567,0.00
October 31 2017,Pacific,WA,Truck,0,0,0,7521,7521,0.00
July 31 2019,Hillsborough,FL,Passenger,0,1,1,203,204,0.49
October 31 2020,New York,NY,Passenger,1,0,1,56,57,1.75
April 30 2023,Franklin,WA,Truck,4,0,4,20858,20862,0.02
December 31 2018,Shelby,TN,Passenger,0,1,1,98,99,1.01
August 31 2022,Yakima,WA,Passenger,364,204,568,166519,167087,0.34
July 31 2018,Dakota,MN,Passenger,0,2,2,36,38,5.26
May 31 2021,Pima,AZ,Passenger,2,1,3,285,288,1.04
December 31 2020,Alameda,CA,Passenger,4,0,4,264,268,1.49
January 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
May 31 2018,Lewis,WA,Passenger,78,54,132,57562,57694,0.23
June 30 2021,Honolulu,HI,Passenger,5,2,7,409,416,1.68
January 31 2019,Kern,CA,Passenger,0,1,1,235,236,0.42
May 31 2023,Middlesex,MA,Passenger,2,1,3,62,65,4.62
March 31 2019,Fresno,CA,Passenger,1,0,1,194,195,0.51
March 31 2018,Adams,WA,Passenger,5,4,9,12469,12478,0.07
November 30 2022,Sumter,SC,Passenger,0,1,1,35,36,2.78
April 30 2023,Henrico,VA,Passenger,0,1,1,5,6,16.67
May 31 2020,Yakima,WA,Passenger,132,117,249,165016,165265,0.15
October 31 2018,Jefferson,WA,Passenger,163,101,264,24781,25045,1.05
March 31 2019,Kittitas,WA,Truck,0,0,0,14249,14249,0.00
August 31 2019,Lake,IL,Passenger,1,0,1,171,172,0.58
October 31 2018,Rogers,OK,Passenger,1,0,1,6,7,14.29
June 30 2020,Walla Walla,WA,Passenger,73,62,135,35831,35966,0.38
March 31 2022,Charles,MD,Passenger,0,1,1,61,62,1.61
June 30 2019,Albemarle,VA,Passenger,1,0,1,23,24,4.17
August 31 2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
February 28 2022,Goochland,VA,Passenger,3,2,5,167,172,2.91
January 31 2019,Montgomery,MD,Passenger,1,0,1,281,282,0.35
January 31 2019,Garfield,OK,Passenger,1,0,1,13,14,7.14
June 30 2021,Sumter,SC,Passenger,0,1,1,38,39,2.56
December 31 2019,Garfield,WA,Truck,0,0,0,968,968,0.00
March 31 2022,Kauai,HI,Passenger,1,0,1,19,20,5.00
April 30 2019,DeKalb,IN,Passenger,1,0,1,1,2,50.00
September 30 2021,Maricopa,AZ,Passenger,7,5,12,1125,1137,1.06
April 30 2020,Twin Falls,ID,Passenger,0,1,1,28,29,3.45
May 31 2023,Ulster,NY,Passenger,1,0,1,6,7,14.29
February 28 2022,Jefferson,WA,Passenger,394,202,596,24680,25276,2.36
February 28 2023,Walla Walla,WA,Truck,3,0,3,13833,13836,0.02
October 31 2019,District of Columbia,DC,Passenger,1,1,2,211,213,0.94
July 31 2023,Maui,HI,Passenger,1,0,1,17,18,5.56
April 30 2019,Tuolumne,CA,Passenger,0,1,1,12,13,7.69
February 28 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
August 31 2020,Walla Walla,WA,Passenger,81,65,146,35890,36036,0.41
June 30 2022,Miami-Dade,FL,Passenger,1,0,1,76,77,1.30
February 28 2023,San Bernardino,CA,Passenger,2,1,3,283,286,1.05
August 31 2018,San Francisco,CA,Passenger,1,1,2,122,124,1.61
April 30 2018,Maui,HI,Passenger,1,0,1,58,59,1.69
January 31 2020,Yakima,WA,Truck,0,0,0,59638,59638,0.00
April 30 2018,Kitsap,WA,Truck,1,0,1,52992,52993,0.00
August 31 2023,Travis,TX,Passenger,1,0,1,73,74,1.35
October 31 2020,Leavenworth,KS,Passenger,0,1,1,127,128,0.78
March 31 2021,Wahkiakum,WA,Truck,0,0,0,1788,1788,0.00
August 31 2022,Essex,NJ,Passenger,2,0,2,8,10,20.00
February 28 2018,Island,WA,Passenger,165,171,336,61869,62205,0.54
February 28 2021,Skamania,WA,Truck,0,0,0,4029,4029,0.00
May 31 2023,Garfield,WA,Passenger,1,3,4,1307,1311,0.31
February 28 2017,Bexar,TX,Passenger,1,2,3,1157,1160,0.26
April 30 2018,Marin,CA,Passenger,1,0,1,56,57,1.75
January 31 2023,Grays Harbor,WA,Truck,2,0,2,21072,21074,0.01
August 31 2021,Skagit,WA,Truck,1,0,1,32972,32973,0.00
August 31 2022,Franklin,WA,Truck,2,0,2,20903,20905,0.01
October 31 2021,Douglas,WA,Passenger,103,51,154,28577,28731,0.54
February 29 2020,Stafford,VA,Passenger,1,1,2,91,93,2.15
February 28 2022,Asotin,WA,Truck,0,0,0,6739,6739,0.00
August 31 2023,Kitsap,WA,Truck,85,0,85,50965,51050,0.17
November 30 2022,Richmond,GA,Passenger,0,1,1,62,63,1.59
October 31 2019,Santa Clara,CA,Passenger,6,2,8,371,379,2.11
August 31 2022,Lincoln,WA,Truck,0,0,0,4844,4844,0.00
May 31 2020,Tulsa,OK,Passenger,1,1,2,45,47,4.26
February 28 2022,Rockdale,GA,Passenger,1,0,1,7,8,12.50
September 30 2020,Clallam,WA,Truck,1,0,1,21769,21770,0.00
April 30 2023,Pacific,WA,Passenger,77,89,166,15597,15763,1.05
March 31 2017,Skagit,WA,Passenger,118,91,209,87517,87726,0.24
June 30 2019,Ada,ID,Passenger,0,2,2,313,315,0.63
September 30 2019,Placer,CA,Passenger,1,0,1,101,102,0.98
August 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,67,68,1.47
September 30 2019,Pinellas,FL,Passenger,1,1,2,114,116,1.72
January 31 2022,Hudson,NJ,Passenger,2,0,2,36,38,5.26
October 31 2021,Kern,CA,Passenger,0,1,1,200,201,0.50
June 30 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
July 31 2023,Coryell,TX,Passenger,1,0,1,69,70,1.43
July 31 2017,Walla Walla,WA,Passenger,27,26,53,34885,34938,0.15
August 31 2019,Manatee,FL,Passenger,1,0,1,36,37,2.70
November 30 2022,Moore,NC,Passenger,0,1,1,112,113,0.88
December 31 2019,Flathead,MT,Passenger,1,0,1,67,68,1.47
July 31 2023,Cumberland,PA,Passenger,1,0,1,31,32,3.12
February 28 2019,San Juan,WA,Truck,0,0,0,5799,5799,0.00
September 30 2022,Camden,NJ,Passenger,0,1,1,12,13,7.69
December 31 2020,Middlesex,MA,Passenger,1,1,2,96,98,2.04
November 30 2022,Pend Oreille,WA,Truck,0,0,0,5603,5603,0.00
October 31 2022,Kauai,HI,Passenger,1,0,1,15,16,6.25
December 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,90,91,1.10
February 28 2023,Harrison,MS,Passenger,1,0,1,32,33,3.03
July 31 2020,Kitsap,WA,Passenger,1376,696,2072,179868,181940,1.14
October 31 2019,Kittitas,WA,Passenger,87,45,132,29956,30088,0.44
January 31 2018,Columbia,WA,Truck,0,0,0,1545,1545,0.00
December 31 2020,Fulton,GA,Passenger,1,2,3,88,91,3.30
April 30 2022,Howard,IN,Passenger,0,1,1,5,6,16.67
January 31 2017,Skagit,WA,Passenger,106,81,187,87448,87635,0.21
August 31 2020,Snohomish,WA,Truck,0,0,0,124588,124588,0.00
June 30 2020,Deschutes,OR,Passenger,4,0,4,135,139,2.88
January 31 2019,Charleston,SC,Passenger,1,0,1,126,127,0.79
November 30 2021,Grays Harbor,WA,Truck,0,0,0,21427,21427,0.00
August 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
June 30 2023,Polk,OR,Passenger,0,1,1,16,17,5.88
June 30 2022,Pend Oreille,WA,Truck,0,0,0,5670,5670,0.00
May 31 2018,Franklin,MA,Passenger,0,1,1,2,3,33.33
March 31 2021,Franklin,WA,Passenger,100,88,188,61664,61852,0.30
October 31 2021,Clallam,WA,Passenger,365,235,600,50524,51124,1.17
May 31 2017,San Mateo,CA,Passenger,0,1,1,157,158,0.63
July 31 2019,Duval,FL,Passenger,1,2,3,375,378,0.79
September 30 2020,Okanogan,WA,Passenger,45,36,81,25964,26045,0.31
May 31 2019,Stevens,WA,Truck,0,0,0,18676,18676,0.00
December 31 2018,Clallam,WA,Truck,0,0,0,21640,21640,0.00
October 31 2020,Morris,NJ,Passenger,1,0,1,18,19,5.26
December 31 2018,Douglas,WA,Truck,0,0,0,12161,12161,0.00
December 31 2022,Norfolk,VA,Passenger,3,3,6,282,288,2.08
October 31 2019,Multnomah,OR,Passenger,4,6,10,728,738,1.36
June 30 2017,Whitman,WA,Passenger,10,20,30,22037,22067,0.14
February 28 2019,DuPage,IL,Passenger,1,0,1,64,65,1.54
August 31 2023,Charleston,SC,Passenger,1,2,3,46,49,6.12
June 30 2017,Clark,WA,Passenger,787,504,1291,299551,300842,0.43
November 30 2017,Stevens,WA,Truck,0,0,0,18334,18334,0.00
January 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
December 31 2021,Allen,IN,Passenger,1,0,1,18,19,5.26
September 30 2018,Okanogan,WA,Passenger,10,20,30,26057,26087,0.11
November 30 2020,Boulder,CO,Passenger,1,1,2,47,49,4.08
January 31 2023,Cape May,NJ,Passenger,0,1,1,6,7,14.29
December 31 2017,Adams,WA,Passenger,4,5,9,12407,12416,0.07
June 30 2020,Jefferson,NY,Passenger,0,1,1,208,209,0.48
March 31 2020,Queens,NY,Passenger,1,0,1,53,54,1.85
March 31 2020,Houston,GA,Passenger,1,0,1,58,59,1.69
August 31 2019,Pinellas,FL,Passenger,1,1,2,119,121,1.65
October 31 2017,Frederick,MD,Passenger,0,1,1,85,86,1.16
May 31 2019,Frederick,MD,Passenger,1,1,2,81,83,2.41
December 31 2019,Suffolk,VA,Passenger,1,0,1,126,127,0.79
August 31 2020,Anne Arundel,MD,Passenger,0,1,1,406,407,0.25
August 31 2021,Skamania,WA,Truck,0,0,0,4035,4035,0.00
December 31 2020,Jefferson,WA,Truck,0,0,0,9588,9588,0.00
January 31 2023,Kitsap,WA,Passenger,2836,1163,3999,177159,181158,2.21
October 31 2018,San Juan,WA,Passenger,169,69,238,14210,14448,1.65
September 30 2017,Walla Walla,WA,Truck,0,0,0,13242,13242,0.00
July 31 2018,Madison,ID,Passenger,1,0,1,41,42,2.38
May 31 2017,Hamilton,TN,Passenger,1,0,1,22,23,4.35
June 30 2020,Washoe,NV,Passenger,1,0,1,109,110,0.91
March 31 2023,Cook,IL,Passenger,3,0,3,155,158,1.90
April 30 2019,Mecklenburg,NC,Passenger,1,0,1,83,84,1.19
August 31 2021,Alexandria,VA,Passenger,2,0,2,120,122,1.64
December 31 2018,Deschutes,OR,Passenger,3,0,3,166,169,1.78
May 31 2018,Ada,ID,Passenger,0,2,2,336,338,0.59
November 30 2019,New Haven,CT,Passenger,0,2,2,48,50,4.00
March 31 2018,Chelan,WA,Passenger,96,41,137,53347,53484,0.26
January 31 2020,Pend Oreille,WA,Truck,0,0,0,5777,5777,0.00
February 28 2022,Fairfax,VA,Passenger,4,3,7,640,647,1.08
August 31 2023,Broward,FL,Passenger,1,0,1,51,52,1.92
October 31 2019,Charleston,SC,Passenger,1,0,1,117,118,0.85
June 30 2020,Greene,MO,Passenger,0,1,1,35,36,2.78
April 30 2019,Benton,WA,Truck,0,0,0,41656,41656,0.00
March 31 2022,Alameda,CA,Passenger,5,0,5,204,209,2.39
May 31 2023,Los Angeles,CA,Passenger,4,4,8,589,597,1.34
February 28 2019,Pacific,WA,Truck,0,0,0,7634,7634,0.00
September 30 2019,Shelby,TN,Passenger,0,1,1,94,95,1.05
November 30 2022,Adams,WA,Truck,1,0,1,5400,5401,0.02
June 30 2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06
July 31 2023,Plaquemines,LA,Passenger,1,1,2,13,15,13.33
September 30 2022,Collier,FL,Passenger,1,0,1,13,14,7.14
August 31 2020,Snohomish,WA,Passenger,4644,1782,6426,536047,542473,1.18
February 28 2019,Stevens,WA,Truck,0,0,0,18755,18755,0.00
January 31 2022,Douglas,WA,Truck,0,0,0,12683,12683,0.00
April 30 2019,Fulton,GA,Passenger,1,2,3,112,115,2.61
August 31 2022,Rock Island,IL,Passenger,0,1,1,15,16,6.25
April 30 2023,Wilson,TX,Passenger,0,1,1,2,3,33.33
August 31 2020,Kittitas,WA,Passenger,110,47,157,29757,29914,0.52
July 31 2023,Asotin,WA,Passenger,36,24,60,12273,12333,0.49
February 28 2017,Clallam,WA,Passenger,75,64,139,47980,48119,0.29
June 30 2019,Riverside,CA,Passenger,2,2,4,653,657,0.61
October 31 2021,Larimer,CO,Passenger,1,0,1,50,51,1.96
September 30 2017,DeKalb,GA,Passenger,1,0,1,85,86,1.16
June 30 2023,Geary,KS,Passenger,1,0,1,67,68,1.47
November 30 2018,Eagle,CO,Passenger,1,0,1,5,6,16.67
May 31 2020,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
July 31 2019,Asotin,WA,Truck,0,0,0,6660,6660,0.00
June 30 2023,Asotin,WA,Truck,0,0,0,6623,6623,0.00
January 31 2021,Alexandria,VA,Passenger,2,0,2,131,133,1.50
July 31 2017,San Mateo,CA,Passenger,0,1,1,151,152,0.66
April 30 2021,Jefferson,WA,Truck,0,0,0,9623,9623,0.00
April 30 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
April 30 2020,Kern,CA,Passenger,0,1,1,229,230,0.43
June 30 2017,Hamilton,TN,Passenger,1,0,1,19,20,5.00
January 31 2020,Vigo,IN,Passenger,1,0,1,6,7,14.29
May 31 2021,Charleston,SC,Passenger,2,0,2,87,89,2.25
July 31 2017,Frederick,MD,Passenger,0,1,1,83,84,1.19
November 30 2021,Douglas,WA,Truck,0,0,0,12694,12694,0.00
July 31 2021,St. Louis,MO,Passenger,1,0,1,80,81,1.23
October 31 2022,Riverside,CA,Passenger,6,0,6,427,433,1.39
April 30 2022,Salt Lake,UT,Passenger,1,1,2,140,142,1.41
December 31 2019,Powhatan,VA,Passenger,1,0,1,0,1,100.00
August 31 2020,Pacific,WA,Passenger,32,33,65,15708,15773,0.41
September 30 2019,Clallam,WA,Passenger,185,151,336,50854,51190,0.66
July 31 2023,Honolulu,HI,Passenger,2,3,5,235,240,2.08
May 31 2021,Garfield,WA,Truck,0,0,0,998,998,0.00
March 31 2022,Plaquemines,LA,Passenger,0,1,1,17,18,5.56
June 30 2019,San Juan,WA,Passenger,212,72,284,14407,14691,1.93
May 31 2022,Benton,WA,Truck,2,0,2,43541,43543,0.00
May 31 2023,Stafford,VA,Passenger,3,1,4,74,78,5.13
May 31 2023,Nassau,NY,Passenger,2,0,2,24,26,7.69
March 31 2022,Spokane,WA,Passenger,1442,799,2241,325827,328068,0.68
November 30 2020,El Paso,CO,Passenger,2,0,2,718,720,0.28
December 31 2020,Richmond,GA,Passenger,0,1,1,79,80,1.25
July 31 2023,Hawaii,HI,Passenger,1,0,1,23,24,4.17
December 31 2022,El Paso,CO,Passenger,3,1,4,543,547,0.73
November 30 2021,Monterey,CA,Passenger,0,2,2,139,141,1.42
May 31 2021,Ferry,WA,Truck,0,0,0,3662,3662,0.00
July 31 2023,St. Clair,IL,Passenger,1,0,1,95,96,1.04
May 31 2022,Rock Island,IL,Passenger,0,1,1,15,16,6.25
March 31 2020,King,WA,Passenger,23882,7719,31601,1397015,1428616,2.21
October 31 2018,Whatcom,WA,Passenger,700,341,1041,148799,149840,0.69
April 30 2022,Spokane,WA,Truck,0,0,0,102399,102399,0.00
February 29 2020,Lewis,WA,Truck,0,0,0,26100,26100,0.00
October 31 2017,Utah,UT,Passenger,0,1,1,145,146,0.68
May 31 2022,Clackamas,OR,Passenger,2,0,2,144,146,1.37
October 31 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
January 31 2022,Lewis,WA,Truck,0,0,0,26649,26649,0.00
August 31 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
April 30 2017,Pend Oreille,WA,Passenger,1,4,5,9320,9325,0.05
April 30 2023,Garfield,WA,Passenger,1,3,4,1316,1320,0.30
February 29 2020,,,Passenger,5,1,6,391,397,1.51
December 31 2021,Anne Arundel,MD,Passenger,4,2,6,359,365,1.64
July 31 2021,St. Clair,IL,Passenger,2,0,2,138,140,1.43
September 30 2019,Berkshire,MA,Passenger,0,1,1,4,5,20.00
October 31 2018,Thurston,WA,Passenger,663,552,1215,195063,196278,0.62
February 29 2020,Klickitat,WA,Passenger,49,41,90,15683,15773,0.57
January 31 2022,Adams,WA,Truck,0,0,0,5434,5434,0.00
June 30 2018,Charles,MD,Passenger,0,1,1,83,84,1.19
March 31 2023,Charleston,SC,Passenger,2,2,4,57,61,6.56
November 30 2022,St. Mary's,MD,Passenger,1,0,1,174,175,0.57
February 28 2021,Snohomish,WA,Passenger,5269,1893,7162,538217,545379,1.31
April 30 2022,Kitsap,WA,Truck,1,0,1,53841,53842,0.00
June 30 2021,Pierce,WA,Truck,0,0,0,146055,146055,0.00
March 31 2020,Alameda,CA,Passenger,3,1,4,282,286,1.40
December 31 2017,Okaloosa,FL,Passenger,1,0,1,184,185,0.54
February 28 2018,Utah,UT,Passenger,0,1,1,136,137,0.73
June 30 2019,Oklahoma,OK,Passenger,0,1,1,124,125,0.80
May 31 2022,Plaquemines,LA,Passenger,1,1,2,16,18,11.11
June 30 2017,Polk,FL,Passenger,1,0,1,64,65,1.54
November 30 2020,Eagle,CO,Passenger,1,0,1,9,10,10.00
April 30 2023,Cowlitz,WA,Passenger,436,203,639,69892,70531,0.91
March 31 2019,Walla Walla,WA,Truck,0,0,0,13551,13551,0.00
September 30 2018,Anne Arundel,MD,Passenger,0,1,1,455,456,0.22
November 30 2021,Flathead,MT,Passenger,1,0,1,46,47,2.13
June 30 2019,Cascade,MT,Passenger,0,1,1,63,64,1.56
September 30 2017,Okanogan,WA,Truck,0,0,0,16234,16234,0.00
October 31 2018,Guadalupe,TX,Passenger,1,0,1,82,83,1.20
March 31 2023,Sedgwick,KS,Passenger,1,1,2,59,61,3.28
January 31 2023,Goochland,VA,Passenger,0,1,1,57,58,1.72
August 31 2021,Saratoga,NY,Passenger,1,0,1,45,46,2.17
April 30 2022,Snohomish,WA,Truck,4,0,4,124614,124618,0.00
June 30 2020,Spartanburg,SC,Passenger,0,1,1,47,48,2.08
July 31 2022,Broward,FL,Passenger,1,0,1,79,80,1.25
February 28 2021,Kitsap,WA,Passenger,1641,777,2418,179325,181743,1.33
April 30 2020,Washington,OR,Passenger,1,0,1,451,452,0.22
July 31 2019,Oklahoma,OK,Passenger,0,1,1,125,126,0.79
November 30 2022,Bryan,GA,Passenger,0,1,1,36,37,2.70
May 31 2018,Caddo,LA,Passenger,0,1,1,22,23,4.35
May 31 2019,Whitman,WA,Truck,0,0,0,8549,8549,0.00
January 31 2023,New Haven,CT,Passenger,0,2,2,24,26,7.69
June 30 2020,Harrison,MS,Passenger,1,0,1,53,54,1.85
April 30 2021,Burlington,NJ,Passenger,0,1,1,135,136,0.74
April 30 2017,Pima,AZ,Passenger,0,2,2,445,447,0.45
August 31 2023,Hennepin,MN,Passenger,1,0,1,27,28,3.57
November 30 2022,Gwinnett,GA,Passenger,1,0,1,49,50,2.00
August 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
April 30 2023,Collin,TX,Passenger,4,0,4,43,47,8.51
April 30 2022,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
January 31 2019,Skamania,WA,Truck,0,0,0,4008,4008,0.00
April 30 2017,New Haven,CT,Passenger,0,1,1,60,61,1.64
December 31 2020,Arapahoe,CO,Passenger,1,0,1,123,124,0.81
August 31 2020,St. Clair,IL,Passenger,1,0,1,145,146,0.68
January 31 2020,Franklin,WA,Truck,0,0,0,19850,19850,0.00
February 28 2021,Carson City,NV,Passenger,1,0,1,12,13,7.69
May 31 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
